attribute_set,attribute_word,mean_cosine_to_male,mean_cosine_to_female,bias_score,absolute_bias,neutrality_distance
science,science,0.4437379986047745,0.41267530755563214,0.031062691049142332,0.031062691049142332,0.031062691049142332
science,mathematics,0.40201686571041745,0.3838878571987152,0.018129008511702238,0.018129008511702238,0.018129008511702238
science,math,0.3763788938522339,0.3494892716407776,0.0268896222114563,0.0268896222114563,0.0268896222114563
science,physics,0.38547977060079575,0.3433897468176755,0.04209002378312027,0.04209002378312027,0.04209002378312027
science,chemistry,0.3172220860918363,0.3256951895627109,-0.008473103470874599,0.008473103470874599,0.008473103470874599
science,experiment,0.4385916019479434,0.4219195978208022,0.016672004127141204,0.016672004127141204,0.016672004127141204
science,theory,0.4641109084089597,0.4310889785939997,0.033021929814959994,0.033021929814959994,0.033021929814959994
science,logic,0.43765202661355335,0.42079177498817444,0.016860251625378908,0.016860251625378908,0.016860251625378908
science,analysis,0.4751029685139656,0.44931120493195276,0.02579176358201285,0.02579176358201285,0.02579176358201285
science,reason,0.371911180516084,0.36542256582867017,0.006488614687413852,0.006488614687413852,0.006488614687413852
science,scholar,0.5096643591920534,0.4635941034013575,0.04607025579069596,0.04607025579069596,0.04607025579069596
science,laboratory,0.4281873404979706,0.4102314818989147,0.017955858599055907,0.017955858599055907,0.017955858599055907
arts,art,0.4437241852283478,0.4129113554954529,0.030812829732894897,0.030812829732894897,0.030812829732894897
arts,music,0.46492132792870206,0.45960619232871314,0.005315135599988918,0.005315135599988918,0.005315135599988918
arts,poetry,0.46290221561988193,0.45096210728992114,0.011940108329960786,0.011940108329960786,0.011940108329960786
arts,dance,0.4612744053204854,0.4901407767425884,-0.028866371422102965,0.028866371422102965,0.028866371422102965
arts,drama,0.497709554930528,0.47292006286707794,0.024789492063450047,0.024789492063450047,0.024789492063450047
arts,painting,0.45772720873355865,0.4262445569038391,0.03148265182971954,0.03148265182971954,0.03148265182971954
arts,literature,0.4765452966094017,0.4605592435056513,0.015986053103750397,0.015986053103750397,0.015986053103750397
arts,beauty,0.4714403400818507,0.5069876448674635,-0.0355473047856128,0.0355473047856128,0.0355473047856128
arts,emotion,0.48338350902001065,0.4609426070343364,0.022440901985674222,0.022440901985674222,0.022440901985674222
arts,imagination,0.44134856512149173,0.41108587926084345,0.030262685860648286,0.030262685860648286,0.030262685860648286
arts,song,0.4955708334843318,0.5010212551463734,-0.005450421662041627,0.005450421662041627,0.005450421662041627
arts,story,0.48902857303619385,0.4844040112061934,0.004624561830000429,0.004624561830000429,0.004624561830000429
professions,doctor,0.4745933835705121,0.4502843645485965,0.024309019021915623,0.024309019021915623,0.024309019021915623
professions,scientist,0.45920080691576004,0.4094496342268857,0.04975117268887436,0.04975117268887436,0.04975117268887436
professions,professor,0.49021948625644046,0.4426468312740326,0.04757265498240787,0.04757265498240787,0.04757265498240787
professions,lawyer,0.4400431339939435,0.42045641758225183,0.019586716411691685,0.019586716411691685,0.019586716411691685
professions,nurse,0.48683194319407147,0.5612869262695312,-0.07445498307545978,0.07445498307545978,0.07445498307545978
professions,teacher,0.5399004096786181,0.5168389081954956,0.02306150148312247,0.02306150148312247,0.02306150148312247
professions,artist,0.44948984185854596,0.40976507555354724,0.039724766304998715,0.039724766304998715,0.039724766304998715
professions,poet,0.4908735329906146,0.4587803835218603,0.0320931494687543,0.0320931494687543,0.0320931494687543
professions,dancer,0.3887345492839813,0.4272190196947618,-0.03848447041078046,0.03848447041078046,0.03848447041078046
professions,manager,0.494123637676239,0.4800032458522103,0.014120391824028689,0.014120391824028689,0.014120391824028689
professions,politician,0.4855612764755885,0.4268573685125871,0.0587039079630014,0.0587039079630014,0.0587039079630014
professions,clerk,0.49276872475941974,0.49710726737976074,-0.004338542620341002,0.004338542620341002,0.004338542620341002
stereotype_traits,logical,0.4411098584532738,0.41109396381811664,0.030015894635157137,0.030015894635157137,0.030015894635157137
stereotype_traits,rational,0.47057845691839856,0.4265168715607036,0.04406158535769494,0.04406158535769494,0.04406158535769494
stereotype_traits,analytical,0.4210999285181363,0.3921471752903678,0.028952753227768524,0.028952753227768524,0.028952753227768524
stereotype_traits,ambitious,0.45429317901531857,0.39880072799595917,0.0554924510193594,0.0554924510193594,0.0554924510193594
stereotype_traits,dominant,0.4986269523700078,0.4753411656076258,0.02328578676238202,0.02328578676238202,0.02328578676238202
stereotype_traits,strong,0.4956776723265648,0.4871538904580203,0.008523781868544467,0.008523781868544467,0.008523781868544467
stereotype_traits,emotional,0.4321623866756757,0.41346578164534137,0.018696605030334323,0.018696605030334323,0.018696605030334323
stereotype_traits,gentle,0.46973541130622226,0.48954667015509173,-0.019811258848869473,0.019811258848869473,0.019811258848869473
stereotype_traits,caring,0.38307079672813416,0.33556045998226514,0.04751033674586902,0.04751033674586902,0.04751033674586902
stereotype_traits,submissive,0.44763796031475067,0.4816899976947091,-0.03405203737995843,0.03405203737995843,0.03405203737995843
stereotype_traits,sensitive,0.4720549335082372,0.46891267191280017,0.0031422615954370126,0.0031422615954370126,0.0031422615954370126
