attribute_set,attribute_word,mean_cosine_to_male,mean_cosine_to_female,bias_score,absolute_bias,neutrality_distance
science,science,0.41456810633341473,0.40250812967618305,0.012059976657231686,0.012059976657231686,0.012059976657231686
science,mathematics,0.38747617850701016,0.38535843789577484,0.002117740611235319,0.002117740611235319,0.002117740611235319
science,experiment,0.3633444979786873,0.3759995872775714,-0.012655089298884092,0.012655089298884092,0.012655089298884092
science,theory,0.45626337577899295,0.4442700296640396,0.01199334611495334,0.01199334611495334,0.01199334611495334
science,reason,0.3998884732524554,0.4006562332312266,-0.0007677599787712097,0.0007677599787712097,0.0007677599787712097
science,scholar,0.4748516281445821,0.44622275481621426,0.028628873328367832,0.028628873328367832,0.028628873328367832
arts,art,0.4469978486498197,0.4311569531758626,0.015840895473957062,0.015840895473957062,0.015840895473957062
arts,music,0.4359788919488589,0.46065450459718704,-0.024675612648328127,0.024675612648328127,0.024675612648328127
arts,poetry,0.44993550578753155,0.45056867847839993,-0.0006331726908683777,0.0006331726908683777,0.0006331726908683777
arts,dance,0.4330514172712962,0.47601040701071423,-0.04295898973941803,0.04295898973941803,0.04295898973941803
arts,drama,0.47454866021871567,0.47041651606559753,0.0041321441531181335,0.0041321441531181335,0.0041321441531181335
arts,painting,0.4581501955787341,0.4665529454747836,-0.0084027498960495,0.0084027498960495,0.0084027498960495
arts,literature,0.4200835848848025,0.4346659705042839,-0.014582385619481386,0.014582385619481386,0.014582385619481386
arts,beauty,0.4929213797052701,0.5746258422732353,-0.08170446256796521,0.08170446256796521,0.08170446256796521
arts,emotion,0.49331193914016086,0.49563796321551007,-0.002326024075349209,0.002326024075349209,0.002326024075349209
arts,imagination,0.4064680164059003,0.3936474025249481,0.01282061388095218,0.01282061388095218,0.01282061388095218
arts,song,0.4695071329673131,0.49063287178675336,-0.021125738819440243,0.021125738819440243,0.021125738819440243
arts,story,0.497563141087691,0.4964250872532527,0.001138053834438324,0.001138053834438324,0.001138053834438324
professions,doctor,0.515205961962541,0.4753654922048251,0.03984046975771588,0.03984046975771588,0.03984046975771588
professions,professor,0.4054075206319491,0.39941394080718357,0.00599357982476556,0.00599357982476556,0.00599357982476556
professions,lawyer,0.46031947433948517,0.44590193778276443,0.014417536556720734,0.014417536556720734,0.014417536556720734
professions,nurse,0.46605021009842557,0.5674120684464773,-0.10136185834805173,0.10136185834805173,0.10136185834805173
professions,teacher,0.49595532566308975,0.49244853605826694,0.003506789604822813,0.003506789604822813,0.003506789604822813
professions,artist,0.340977743268013,0.3240749090909958,0.016902834177017212,0.016902834177017212,0.016902834177017212
professions,poet,0.4344554642836253,0.4296568036079407,0.0047986606756846295,0.0047986606756846295,0.0047986606756846295
professions,manager,0.5070541674892107,0.5125613783796629,-0.005507210890452141,0.005507210890452141,0.005507210890452141
professions,politician,0.4863530844449997,0.4388272787133853,0.04752580573161441,0.04752580573161441,0.04752580573161441
professions,clerk,0.5019835730393728,0.5042970702052116,-0.0023134971658388404,0.0023134971658388404,0.0023134971658388404
stereotype_traits,logical,0.4294525732596715,0.41927025218804675,0.010182321071624756,0.010182321071624756,0.010182321071624756
stereotype_traits,rational,0.3883354862531026,0.3966812988122304,-0.008345812559127808,0.008345812559127808,0.008345812559127808
stereotype_traits,ambitious,0.47031285613775253,0.442914475997289,0.02739838014046353,0.02739838014046353,0.02739838014046353
stereotype_traits,dominant,0.48484483112891513,0.47589992235104245,0.008944908777872684,0.008944908777872684,0.008944908777872684
stereotype_traits,strong,0.5257208198308945,0.5056696534156799,0.02005116641521454,0.02005116641521454,0.02005116641521454
stereotype_traits,emotional,0.3021951566139857,0.33357081562280655,-0.03137565900882083,0.03137565900882083,0.03137565900882083
stereotype_traits,gentle,0.4823694775501887,0.5225442250569662,-0.040174747506777464,0.040174747506777464,0.040174747506777464
stereotype_traits,caring,0.42153723289569217,0.41963084042072296,0.0019063924749692096,0.0019063924749692096,0.0019063924749692096
stereotype_traits,submissive,0.484825832148393,0.5065027823050817,-0.021676950156688746,0.021676950156688746,0.021676950156688746
stereotype_traits,sensitive,0.48087720572948456,0.49377427250146866,-0.0128970667719841,0.0128970667719841,0.0128970667719841
