attribute_set,attribute_word,mean_cosine_to_male,mean_cosine_to_female,bias_score,absolute_bias,neutrality_distance
science,science,0.3539657195409139,0.3390095854798953,0.014956134061018589,0.014956134061018589,0.014956134061018589
science,reason,0.4025232841571172,0.4120120306809743,-0.009488746523857117,0.009488746523857117,0.009488746523857117
arts,art,0.39180486897627514,0.3969312037030856,-0.005126334726810455,0.005126334726810455,0.005126334726810455
arts,music,0.4068131595849991,0.4296477735042572,-0.022834613919258118,0.022834613919258118,0.022834613919258118
arts,poetry,0.4020426794886589,0.42175040890773136,-0.01970772941907245,0.01970772941907245,0.01970772941907245
arts,dance,0.40471339349945384,0.4538375387589137,-0.04912414525945985,0.04912414525945985,0.04912414525945985
arts,painting,0.3992902338504791,0.3952370000382264,0.004053233812252699,0.004053233812252699,0.004053233812252699
arts,literature,0.41253728667895,0.4286077494422595,-0.01607046276330948,0.01607046276330948,0.01607046276330948
arts,beauty,0.4624086618423462,0.5331609919667244,-0.0707523301243782,0.0707523301243782,0.0707523301243782
arts,emotion,0.46025511622428894,0.46665025750796,-0.00639514128367108,0.00639514128367108,0.00639514128367108
arts,imagination,0.4200548355778058,0.4292108491063118,-0.00915601352850598,0.00915601352850598,0.00915601352850598
arts,song,0.4482444003224373,0.4637316440542539,-0.015487243731816591,0.015487243731816591,0.015487243731816591
arts,story,0.44971904655297595,0.45759807030359906,-0.007879023750623104,0.007879023750623104,0.007879023750623104
professions,doctor,0.46786540498336154,0.43387653430302936,0.033988870680332184,0.033988870680332184,0.033988870680332184
professions,lawyer,0.4441942423582077,0.4188658396402995,0.025328402717908205,0.025328402717908205,0.025328402717908205
professions,nurse,0.4204139821231365,0.4909027914206187,-0.07048880929748219,0.07048880929748219,0.07048880929748219
professions,artist,0.3630400237937768,0.36412743230660755,-0.0010874085128307343,0.0010874085128307343,0.0010874085128307343
professions,manager,0.43011124928792316,0.46874871104955673,-0.038637461761633574,0.038637461761633574,0.038637461761633574
professions,clerk,0.40864746645092964,0.40402261167764664,0.004624854773283005,0.004624854773283005,0.004624854773283005
stereotype_traits,rational,0.4229972759882609,0.431120033065478,-0.008122757077217102,0.008122757077217102,0.008122757077217102
stereotype_traits,strong,0.4718199496467908,0.4779020349184672,-0.0060820852716764184,0.0060820852716764184,0.0060820852716764184
stereotype_traits,gentle,0.4704298252860705,0.5001038114229838,-0.029673986136913244,0.029673986136913244,0.029673986136913244
stereotype_traits,caring,0.419121357301871,0.4174882074197133,0.0016331498821576806,0.0016331498821576806,0.0016331498821576806
stereotype_traits,submissive,0.4070685803890228,0.4733734106024106,-0.06630483021338779,0.06630483021338779,0.06630483021338779
stereotype_traits,sensitive,0.3722942794362704,0.3898549551765124,-0.017560675740242004,0.017560675740242004,0.017560675740242004
